ym,size_factor,value_factor,mom_factor,qual_factor,lowvol_factor,rev_factor,ewtret,vwtret
1987m1,13.949162,-6.9381618,1.0764837,-.094482899,-1.2076683,-3.7996969,3.45,2.19
1987m2,-4.1160011,.90258318,1.2666606,.26611394,-.60075784,2.5269456,1.51,3.19
1987m3,-1.2812402,5.2481465,.89779025,-6.2182026,-.28829166,7.1900806,.59,.19
1987m4,-.47585264,3.3812416,.072627544,2.3635378,.59396344,-3.2641232,-2.8,-2.65
1987m5,-2.8139675,-2.0370686,1.6623654,-.71154863,-.22614807,4.1871805,-.45,-1.06
1987m6,-3.3075824,1.326309,-1.8695184,3.0860925,-.93939716,.95112228,1.7,2.42
1987m7,.72296554,.89212137,-1.5757575,4.7463045,.18506622,-1.4145272,.3,.07
1987m8,2.339087,-4.5954075,-4.084836,-3.6998367,-.28559896,-1.4500908,-1.9,-1.85
1987m9,-3.0687261,-1.5780811,-.92195928,1.80005,-.95127368,1.3193762,-2.06,-1.86
1987m10,-2.9008064,7.3648586,-5.2324524,.68817711,-8.4516277,.85809708,-13.94,-14.47
1987m11,1.1406698,.64381695,-4.6272526,3.7343452,.73635411,.69084322,1.39,1.88
1987m12,-4.6335211,-2.9445813,8.4000082,-6.2908726,1.519611,2.2650747,.74,3.02
1988m1,.7471199,15.759574,3.915283,.2731694,4.0601768,11.613731,9.300000000000001,7.61
1988m2,5.8464842,-3.0642667,1.6974859,3.2322979,2.3105061,4.3383694,3.73,2.84
1988m3,-5.2797661,1.9957628,-2.8001213,-14.180246,-7.9165201,9.3164682,.62,.7000000000000001
1988m4,6.0391383,-.091252014,2.6060922,1.7907133,-1.4255344,-1.151998,1.37,.6
1988m5,-1.0607705,-1.9402854,.94680059,-2.2170351,-.14721514,-1.131199,-1.9,-1.14
1988m6,-2.4999931,-3.5996137,-1.3178134,-.062592268,.95473099,2.457931,2.12,2.82
1988m7,2.777365,3.1512222,-.96918523,1.7237771,-1.1839138,2.6385336,2.24,1.53
1988m8,-1.9020246,-3.0115194,.097424738,.50775468,-1.4646376,2.164993,-1.8,-.74
1988m9,.36749589,-.42745614,-2.1796467,-4.965157,-.51750606,3.873672,-.28,-.13
1988m10,.20660919,-2.5633504,2.4007468,-.20655203,.4390173,-1.6567453,-.63,-.48
1988m11,-2.606899,-4.1200557,2.2945776,5.0268307,.36673352,1.9142674,-1.96,-2.06
1988m12,.89360142,-7.9459872,-1.7401726,2.5024269,-3.1126063,2.9276526,-1.38,-.04
1989m1,-1.2214189,.98662734,5.2291331,-5.2228475,1.3946313,1.3384888,.52,.21
